PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJY98        ,26334604  ,SJY98.CFG   ,SJY98.TXT  ,TESTE	            ,VPKSJF-SN    ,-----    ,JBUC Mono         ,SJY98     ,MONO      ,FE        ,NAO      ,         ,
SJY99        ,26334606  ,SJY99.CFG   ,SJY99.TXT  ,TESTE	            ,VPKSJF-KN    ,-----    ,JBUC Mono         ,SJY99     ,MONO      ,EE        ,NAO      ,         ,
SKY09        ,26334617  ,SJY99.CFG   ,SJY99.TXT  ,TESTE	            ,VPKSJF-BNC   ,-----    ,JBUC Mono         ,SKY09     ,MONO      ,EE        ,NAO      ,         ,
--------------------------------------------------------FAMILIA SKY---------------------------------------------------------------------------------------------------
SKY01        ,26334608  ,SKY01.CFG   ,SKY01.TXT  ,TESTE	            ,VPKSJF-NN    ,-----    ,JBUC Mono         ,SKY01     ,MONO      ,EE        ,NAO      ,         ,
SKY02        ,26334609  ,SKY02.CFG   ,SKY02.TXT  ,TESTE	            ,VPKSJF-RN    ,-----    ,JBUC color        ,SKY02     ,COLOR     ,EE        ,NAO      ,         ,
SKY03        ,26334610  ,SKY03.CFG   ,SKY03.TXT  ,TESTE	            ,VPKSJF-PN    ,-----    ,JBUC color        ,SKY03     ,COLOR     ,EE        ,NAO      ,         ,
--------------------------------------------------------FAMILIA SJK---------------------------------------------------------------------------------------------------
SJK01        ,26331058  ,SJK01.CFG   ,SJK01.TXT  ,TESTE    	    ,VPKSJF-AJT   ,-----    ,JBUA_Seg          ,SJK01     ,SEG       ,ADA       ,NAO      ,         ,
SJK02        ,26331054  ,SJK02.CFG   ,SJK02.TXT  ,TESTE    	    ,VPKSJF-ET    ,-----    ,JBUA_Mono         ,SJK02     ,MONO      ,LC        ,NAO      ,         ,
SJK03        ,26331052  ,SJK03.CFG   ,SJK03.TXT  ,TESTE	            ,VPKSJF-AGT   ,-----    ,JUBA_ Mono        ,SJK03     ,MONO      ,MD        ,NAO      ,         ,
SJK04        ,26331055  ,SJK04.CFG   ,SJK04.TXT  ,TESTE    	    ,VPKSJF-GT    ,-----    ,JBUA_Seg          ,SJK04     ,SEG       ,DG        ,NAO      ,         ,
SJK05        ,26331053  ,SJK05.CFG   ,SJK05.TXT  ,TESTE	            ,VPKSJF-AKT   ,-----    ,JUBA Mono         ,SJK05     ,MONO      ,ALA       ,NAO      ,         ,
SJK11        ,26330819  ,SJK11.CFG   ,SJK11.TXT  ,TESTE	            ,VPKSJF-MP    ,-----    ,JBUC Mono         ,SJK11     ,MONO      ,EE        ,NAO      ,         ,
SJK12        ,26330820  ,SJK12.CFG   ,SJK12.TXT  ,TESTE	            ,VPKSJF-SP    ,-----    ,JBUC Mono         ,SJK12     ,MONO      ,FE        ,NAO      ,         ,
SJK13        ,26330822  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-KP    ,-----    ,JBUC Mono         ,SJK13     ,MONO      ,HE        ,NAO      ,         ,
SJK14        ,26330824  ,SJK14.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-NP    ,-----    ,JBUC Mono         ,SJK14     ,MONO      ,EE        ,NAO      ,         ,
